Name	NameEnglish	Subtype	MainCategory	Region	Description
బుద్ధ ఆశ్రమం (అమరావతి)	బుద్ధ ఆశ్రమం (అమరావతి)	HISTORICAL_SITE	HISTORICAL	South India	బుద్ధ ఆశ్రమం (అమరావతి) is a historical site in Andhra Pradesh/Telangana
బొల్లాపురం శిథిలాలు	బొల్లాపురం శిథిలాలు	HISTORICAL_SITE	HISTORICAL	South India	బొల్లాపురం శిథిలాలు is a historical site in Andhra Pradesh/Telangana
మచిలీపట్నం ఫోర్ట్	మచిలీపట్నం ఫోర్ట్	HISTORICAL_SITE	HISTORICAL	South India	మచిలీపట్నం ఫోర్ట్ is a historical site in Andhra Pradesh/Telangana
విజయనగరం రాజ ప్రాసాదం	విజయనగరం రాజ ప్రాసాదం	HISTORICAL_SITE	HISTORICAL	South India	విజయనగరం రాజ ప్రాసాదం is a historical site in Andhra Pradesh/Telangana
వేలూరు కోట	వేలూరు కోట	HISTORICAL_SITE	HISTORICAL	South India	వేలూరు కోట is a historical site in Andhra Pradesh/Telangana
హంపి కోట (AP-AP border, కొంత భాగం)	హంపి కోట (AP-AP border, కొంత భాగం)	HISTORICAL_SITE	HISTORICAL	Andhra Pradesh	హంపి కోట (AP-AP border, కొంత భాగం) is a historical site in Andhra Pradesh/Telangana
అన్నాకపల్లి ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	అన్నాకపల్లి ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	AIRPORT	INFRASTRUCTURE	Andhra Pradesh	అన్నాకపల్లి ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్ is an airport in Andhra Pradesh/Telangana
ఆదిలాబాద్ ఎయిర్పోర్ట్, తెలంగాణ	ఆదిలాబాద్ ఎయిర్పోర్ట్, తెలంగాణ	AIRPORT	INFRASTRUCTURE	Telangana	ఆదిలాబాద్ ఎయిర్పోర్ట్, తెలంగాణ is an airport in Andhra Pradesh/Telangana
ఇందిరా గాంధీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఢిల్లీ	ఇందిరా గాంధీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఢిల్లీ	AIRPORT	INFRASTRUCTURE	South India	ఇందిరా గాంధీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఢిల్లీ is an airport in Andhra Pradesh/Telangana
కడప ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	కడప ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	AIRPORT	INFRASTRUCTURE	Andhra Pradesh	కడప ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్ is an airport in Andhra Pradesh/Telangana
కరీంనగర్ ఎయిర్పోర్ట్, తెలంగాణ	కరీంనగర్ ఎయిర్పోర్ట్, తెలంగాణ	AIRPORT	INFRASTRUCTURE	Telangana	కరీంనగర్ ఎయిర్పోర్ట్, తెలంగాణ is an airport in Andhra Pradesh/Telangana
కెంపేగౌడ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, బెంగళూరు	కెంపేగౌడ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, బెంగళూరు	AIRPORT	INFRASTRUCTURE	South India	కెంపేగౌడ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, బెంగళూరు is an airport in Andhra Pradesh/Telangana
ఖమ్మం ఎయిర్పోర్ట్, తెలంగాణ	ఖమ్మం ఎయిర్పోర్ట్, తెలంగాణ	AIRPORT	INFRASTRUCTURE	Telangana	ఖమ్మం ఎయిర్పోర్ట్, తెలంగాణ is an airport in Andhra Pradesh/Telangana
చెన్నై ఇంటర్నేషనల్ ఎయిర్పోర్ట్, చెన్నై	చెన్నై ఇంటర్నేషనల్ ఎయిర్పోర్ట్, చెన్నై	AIRPORT	INFRASTRUCTURE	South India	చెన్నై ఇంటర్నేషనల్ ఎయిర్పోర్ట్, చెన్నై is an airport in Andhra Pradesh/Telangana
ఛత్రపతి శివాజీ మహారాజ్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ముంబై	ఛత్రపతి శివాజీ మహారాజ్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ముంబై	AIRPORT	INFRASTRUCTURE	South India	ఛత్రపతి శివాజీ మహారాజ్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ముంబై is an airport in Andhra Pradesh/Telangana
జాక్ లాంగ్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, టోక్యో	జాక్ లాంగ్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, టోక్యో	AIRPORT	INFRASTRUCTURE	South India	జాక్ లాంగ్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, టోక్యో is an airport in Andhra Pradesh/Telangana
జాన్ ఎఫ్ కెన్నెడీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, న్యూయార్క్	జాన్ ఎఫ్ కెన్నెడీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, న్యూయార్క్	AIRPORT	INFRASTRUCTURE	South India	జాన్ ఎఫ్ కెన్నెడీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, న్యూయార్క్ is an airport in Andhra Pradesh/Telangana
డల్లాస్/ఫోర్ట్ వర్త్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, USA	డల్లాస్/ఫోర్ట్ వర్త్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, USA	AIRPORT	INFRASTRUCTURE	South India	డల్లాస్/ఫోర్ట్ వర్త్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, USA is an airport in Andhra Pradesh/Telangana
డ్యూసెల్డోర్ఫ్ ఎయిర్పోర్ట్, జర్మనీ	డ్యూసెల్డోర్ఫ్ ఎయిర్పోర్ట్, జర్మనీ	AIRPORT	INFRASTRUCTURE	South India	డ్యూసెల్డోర్ఫ్ ఎయిర్పోర్ట్, జర్మనీ is an airport in Andhra Pradesh/Telangana
తిరుపతి ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	తిరుపతి ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	AIRPORT	INFRASTRUCTURE	Andhra Pradesh	తిరుపతి ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్ is an airport in Andhra Pradesh/Telangana
దుబాయ్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, UAE	దుబాయ్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, UAE	AIRPORT	INFRASTRUCTURE	South India	దుబాయ్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, UAE is an airport in Andhra Pradesh/Telangana
నిజామాబాద్ ఎయిర్పోర్ట్, తెలంగాణ	నిజామాబాద్ ఎయిర్పోర్ట్, తెలంగాణ	AIRPORT	INFRASTRUCTURE	Telangana	నిజామాబాద్ ఎయిర్పోర్ట్, తెలంగాణ is an airport in Andhra Pradesh/Telangana
నెటాజీ సుభాష్ చంద్ర బోస్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, కోల్‌కతా	నెటాజీ సుభాష్ చంద్ర బోస్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, కోల్‌కతా	AIRPORT	INFRASTRUCTURE	South India	నెటాజీ సుభాష్ చంద్ర బోస్ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, కోల్‌కతా is an airport in Andhra Pradesh/Telangana
పారిస్ చార్లెస్ డి గౌల్ ఎయిర్పోర్ట్, ఫ్రాన్స్	పారిస్ చార్లెస్ డి గౌల్ ఎయిర్పోర్ట్, ఫ్రాన్స్	AIRPORT	INFRASTRUCTURE	South India	పారిస్ చార్లెస్ డి గౌల్ ఎయిర్పోర్ట్, ఫ్రాన్స్ is an airport in Andhra Pradesh/Telangana
పుణె ఇంటర్నేషనల్ ఎయిర్పోర్ట్, పుణె	పుణె ఇంటర్నేషనల్ ఎయిర్పోర్ట్, పుణె	AIRPORT	INFRASTRUCTURE	South India	పుణె ఇంటర్నేషనల్ ఎయిర్పోర్ట్, పుణె is an airport in Andhra Pradesh/Telangana
మహబూబ్ నగర్ ఎయిర్పోర్ట్, తెలంగాణ	మహబూబ్ నగర్ ఎయిర్పోర్ట్, తెలంగాణ	AIRPORT	INFRASTRUCTURE	Telangana	మహబూబ్ నగర్ ఎయిర్పోర్ట్, తెలంగాణ is an airport in Andhra Pradesh/Telangana
రాజమండ్రి ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	రాజమండ్రి ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	AIRPORT	INFRASTRUCTURE	Andhra Pradesh	రాజమండ్రి ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్ is an airport in Andhra Pradesh/Telangana
రాజీవ్ గాంధీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, హైదరాబాద్	రాజీవ్ గాంధీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, హైదరాబాద్	AIRPORT	INFRASTRUCTURE	South India	రాజీవ్ గాంధీ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, హైదరాబాద్ is an airport in Andhra Pradesh/Telangana
వరంగల్ ఎయిర్పోర్ట్, తెలంగాణ	వరంగల్ ఎయిర్పోర్ట్, తెలంగాణ	AIRPORT	INFRASTRUCTURE	Telangana	వరంగల్ ఎయిర్పోర్ట్, తెలంగాణ is an airport in Andhra Pradesh/Telangana
విజయవాడ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	విజయవాడ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	AIRPORT	INFRASTRUCTURE	Andhra Pradesh	విజయవాడ ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్ is an airport in Andhra Pradesh/Telangana
విశాఖపట్నం ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	విశాఖపట్నం ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్	AIRPORT	INFRASTRUCTURE	Andhra Pradesh	విశాఖపట్నం ఇంటర్నేషనల్ ఎయిర్పోర్ట్, ఆంధ్రప్రదేశ్ is an airport in Andhra Pradesh/Telangana
స్వర్ణ ద్వీప ఇంటర్నేషనల్ ఎయిర్పోర్ట్, పోర్ట్ బ్లెయిర్	స్వర్ణ ద్వీప ఇంటర్నేషనల్ ఎయిర్పోర్ట్, పోర్ట్ బ్లెయిర్	AIRPORT	INFRASTRUCTURE	South India	స్వర్ణ ద్వీప ఇంటర్నేషనల్ ఎయిర్పోర్ట్, పోర్ట్ బ్లెయిర్ is an airport in Andhra Pradesh/Telangana
హీత్రో ఎయిర్పోర్ట్, లండన్	హీత్రో ఎయిర్పోర్ట్, లండన్	AIRPORT	INFRASTRUCTURE	South India	హీత్రో ఎయిర్పోర్ట్, లండన్ is an airport in Andhra Pradesh/Telangana
అనంతపురం బస్ స్టాండ్, ఆంధ్రప్రదేశ్	అనంతపురం బస్ స్టాండ్, ఆంధ్రప్రదేశ్	BUS_STAND	INFRASTRUCTURE	Andhra Pradesh	అనంతపురం బస్ స్టాండ్, ఆంధ్రప్రదేశ్ is a bus_stand in Andhra Pradesh/Telangana
ఆదిలాబాద్ బస్ స్టాండ్, తెలంగాణ	ఆదిలాబాద్ బస్ స్టాండ్, తెలంగాణ	BUS_STAND	INFRASTRUCTURE	Telangana	ఆదిలాబాద్ బస్ స్టాండ్, తెలంగాణ is a bus_stand in Andhra Pradesh/Telangana
ఇందిరా బస్ స్టాండ్, ఢిల్లీ	ఇందిరా బస్ స్టాండ్, ఢిల్లీ	BUS_STAND	INFRASTRUCTURE	South India	ఇందిరా బస్ స్టాండ్, ఢిల్లీ is a bus_stand in Andhra Pradesh/Telangana
ఎంజి రోడ్ బస్ స్టాండ్, అహ్మదాబాద్	ఎంజి రోడ్ బస్ స్టాండ్, అహ్మదాబాద్	BUS_STAND	INFRASTRUCTURE	South India	ఎంజి రోడ్ బస్ స్టాండ్, అహ్మదాబాద్ is a bus_stand in Andhra Pradesh/Telangana
ఎస్టాసియోన్ డి ఓబుస్, సావో పావులో, బ్రెజిల్	ఎస్టాసియోన్ డి ఓబుస్, సావో పావులో, బ్రెజిల్	BUS_STAND	INFRASTRUCTURE	South India	ఎస్టాసియోన్ డి ఓబుస్, సావో పావులో, బ్రెజిల్ is a bus_stand in Andhra Pradesh/Telangana
కడప బస్ స్టాండ్, ఆంధ్రప్రదేశ్	కడప బస్ స్టాండ్, ఆంధ్రప్రదేశ్	BUS_STAND	INFRASTRUCTURE	Andhra Pradesh	కడప బస్ స్టాండ్, ఆంధ్రప్రదేశ్ is a bus_stand in Andhra Pradesh/Telangana
కరీంనగర్ బస్ స్టాండ్, తెలంగాణ	కరీంనగర్ బస్ స్టాండ్, తెలంగాణ	BUS_STAND	INFRASTRUCTURE	Telangana	కరీంనగర్ బస్ స్టాండ్, తెలంగాణ is a bus_stand in Andhra Pradesh/Telangana
కర్నూలు బస్ స్టాండ్, ఆంధ్రప్రదేశ్	కర్నూలు బస్ స్టాండ్, ఆంధ్రప్రదేశ్	BUS_STAND	INFRASTRUCTURE	Andhra Pradesh	కర్నూలు బస్ స్టాండ్, ఆంధ్రప్రదేశ్ is a bus_stand in Andhra Pradesh/Telangana
కెఎస్ఆర్‌టిసి బస్ స్టాండ్, బెంగళూరు	కెఎస్ఆర్‌టిసి బస్ స్టాండ్, బెంగళూరు	BUS_STAND	INFRASTRUCTURE	South India	కెఎస్ఆర్‌టిసి బస్ స్టాండ్, బెంగళూరు is a bus_stand in Andhra Pradesh/Telangana
ఖమ్మం బస్ స్టాండ్, తెలంగాణ	ఖమ్మం బస్ స్టాండ్, తెలంగాణ	BUS_STAND	INFRASTRUCTURE	Telangana	ఖమ్మం బస్ స్టాండ్, తెలంగాణ is a bus_stand in Andhra Pradesh/Telangana
చెన్నై మోఫుసిల్ బస్ టెర్మినల్ (CMBT), చెన్నై	చెన్నై మోఫుసిల్ బస్ టెర్మినల్ (CMBT), చెన్నై	BUS_STAND	INFRASTRUCTURE	South India	చెన్నై మోఫుసిల్ బస్ టెర్మినల్ (CMBT), చెన్నై is a bus_stand in Andhra Pradesh/Telangana
జియుఎస్ బస్ స్టాండ్, హైదరాబాద్, తెలంగాణ	జియుఎస్ బస్ స్టాండ్, హైదరాబాద్, తెలంగాణ	BUS_STAND	INFRASTRUCTURE	Telangana	జియుఎస్ బస్ స్టాండ్, హైదరాబాద్, తెలంగాణ is a bus_stand in Andhra Pradesh/Telangana
నల్లగొండ బస్ స్టాండ్, తెలంగాణ	నల్లగొండ బస్ స్టాండ్, తెలంగాణ	BUS_STAND	INFRASTRUCTURE	Telangana	నల్లగొండ బస్ స్టాండ్, తెలంగాణ is a bus_stand in Andhra Pradesh/Telangana
నిజామాబాద్ బస్ స్టాండ్, తెలంగాణ	నిజామాబాద్ బస్ స్టాండ్, తెలంగాణ	BUS_STAND	INFRASTRUCTURE	Telangana	నిజామాబాద్ బస్ స్టాండ్, తెలంగాణ is a bus_stand in Andhra Pradesh/Telangana
నెల్లూరు బస్ స్టాండ్, ఆంధ్రప్రదేశ్	నెల్లూరు బస్ స్టాండ్, ఆంధ్రప్రదేశ్	BUS_STAND	INFRASTRUCTURE	Andhra Pradesh	నెల్లూరు బస్ స్టాండ్, ఆంధ్రప్రదేశ్ is a bus_stand in Andhra Pradesh/Telangana
పిపి బస్ స్టాండ్ (పాండిల్లా పుల్లారావు), విజయవాడ, ఆంధ్రప్రదేశ్	పిపి బస్ స్టాండ్ (పాండిల్లా పుల్లారావు), విజయవాడ, ఆంధ్రప్రదేశ్	BUS_STAND	INFRASTRUCTURE	Andhra Pradesh	పిపి బస్ స్టాండ్ (పాండిల్లా పుల్లారావు), విజయవాడ, ఆంధ్రప్రదేశ్ is a bus_stand in Andhra Pradesh/Telangana
పోర్ట్ అథరిటీ బస్ టెర్మినల్, న్యూయార్క్, USA	పోర్ట్ అథరిటీ బస్ టెర్మినల్, న్యూయార్క్, USA	BUS_STAND	INFRASTRUCTURE	South India	పోర్ట్ అథరిటీ బస్ టెర్మినల్, న్యూయార్క్, USA is a bus_stand in Andhra Pradesh/Telangana
మహబూబ్ నగర్ బస్ స్టాండ్, తెలంగాణ	మహబూబ్ నగర్ బస్ స్టాండ్, తెలంగాణ	BUS_STAND	INFRASTRUCTURE	Telangana	మహబూబ్ నగర్ బస్ స్టాండ్, తెలంగాణ is a bus_stand in Andhra Pradesh/Telangana
మహాత్మా గాంధీ బస్ స్టాండ్ (ఎంజీబిఎస్), హైదరాబాద్, తెలంగాణ	మహాత్మా గాంధీ బస్ స్టాండ్ (ఎంజీబిఎస్), హైదరాబాద్, తెలంగాణ	BUS_STAND	INFRASTRUCTURE	Telangana	మహాత్మా గాంధీ బస్ స్టాండ్ (ఎంజీబిఎస్), హైదరాబాద్, తెలంగాణ is a bus_stand in Andhra Pradesh/Telangana
మాతాధిష్ఠిత బస్ స్టాండ్ (ISBT), ఢిల్లీ	మాతాధిష్ఠిత బస్ స్టాండ్ (ISBT), ఢిల్లీ	BUS_STAND	INFRASTRUCTURE	South India	మాతాధిష్ఠిత బస్ స్టాండ్ (ISBT), ఢిల్లీ is a bus_stand in Andhra Pradesh/Telangana
ముంబై సెంట్రల్ బస్ స్టాండ్, ముంబై	ముంబై సెంట్రల్ బస్ స్టాండ్, ముంబై	BUS_STAND	INFRASTRUCTURE	South India	ముంబై సెంట్రల్ బస్ స్టాండ్, ముంబై is a bus_stand in Andhra Pradesh/Telangana
మూర్తి నగర్ బస్ స్టాండ్, విశాఖపట్నం, ఆంధ్రప్రదేశ్	మూర్తి నగర్ బస్ స్టాండ్, విశాఖపట్నం, ఆంధ్రప్రదేశ్	BUS_STAND	INFRASTRUCTURE	Andhra Pradesh	మూర్తి నగర్ బస్ స్టాండ్, విశాఖపట్నం, ఆంధ్రప్రదేశ్ is a bus_stand in Andhra Pradesh/Telangana
మెక్సికో సిటీ నార్త్ బస్ టెర్మినల్, మెక్సికో	మెక్సికో సిటీ నార్త్ బస్ టెర్మినల్, మెక్సికో	BUS_STAND	INFRASTRUCTURE	South India	మెక్సికో సిటీ నార్త్ బస్ టెర్మినల్, మెక్సికో is a bus_stand in Andhra Pradesh/Telangana
రాజమండ్రి బస్ స్టాండ్, ఆంధ్రప్రదేశ్	రాజమండ్రి బస్ స్టాండ్, ఆంధ్రప్రదేశ్	BUS_STAND	INFRASTRUCTURE	Andhra Pradesh	రాజమండ్రి బస్ స్టాండ్, ఆంధ్రప్రదేశ్ is a bus_stand in Andhra Pradesh/Telangana
రామానగరం బస్ స్టాండ్, తిరుపతి, ఆంధ్రప్రదేశ్	రామానగరం బస్ స్టాండ్, తిరుపతి, ఆంధ్రప్రదేశ్	BUS_STAND	INFRASTRUCTURE	Andhra Pradesh	రామానగరం బస్ స్టాండ్, తిరుపతి, ఆంధ్రప్రదేశ్ is a bus_stand in Andhra Pradesh/Telangana
రాష్ట్రపతి బస్ స్టాండ్, వరంగల్, తెలంగాణ	రాష్ట్రపతి బస్ స్టాండ్, వరంగల్, తెలంగాణ	BUS_STAND	INFRASTRUCTURE	Telangana	రాష్ట్రపతి బస్ స్టాండ్, వరంగల్, తెలంగాణ is a bus_stand in Andhra Pradesh/Telangana
విక్టోరియా కోచ్ స్టేషన్, లండన్, UK	విక్టోరియా కోచ్ స్టేషన్, లండన్, UK	BUS_STAND	INFRASTRUCTURE	South India	విక్టోరియా కోచ్ స్టేషన్, లండన్, UK is a bus_stand in Andhra Pradesh/Telangana
హౌరా బస్ స్టాండ్, కోల్‌కతా	హౌరా బస్ స్టాండ్, కోల్‌కతా	BUS_STAND	INFRASTRUCTURE	South India	హౌరా బస్ స్టాండ్, కోల్‌కతా is a bus_stand in Andhra Pradesh/Telangana
అపోలో హాస్పిటల్స్, హైదరాబాద్, తెలంగాణ	అపోలో హాస్పిటల్స్, హైదరాబాద్, తెలంగాణ	HOSPITAL	INFRASTRUCTURE	Telangana	అపోలో హాస్పిటల్స్, హైదరాబాద్, తెలంగాణ is a hospital in Andhra Pradesh/Telangana
ఆదిలాబాద్ జిల్లా హాస్పిటల్, తెలంగాణ	ఆదిలాబాద్ జిల్లా హాస్పిటల్, తెలంగాణ	HOSPITAL	INFRASTRUCTURE	Telangana	ఆదిలాబాద్ జిల్లా హాస్పిటల్, తెలంగాణ is a hospital in Andhra Pradesh/Telangana
ఆర్‌విఆర్ హాస్పిటల్, రాజమండ్రి, ఆంధ్రప్రదేశ్	ఆర్‌విఆర్ హాస్పిటల్, రాజమండ్రి, ఆంధ్రప్రదేశ్	HOSPITAL	INFRASTRUCTURE	Andhra Pradesh	ఆర్‌విఆర్ హాస్పిటల్, రాజమండ్రి, ఆంధ్రప్రదేశ్ is a hospital in Andhra Pradesh/Telangana
ఎంజీఎం మెడికల్ కాలేజ్ & హాస్పిటల్, కేరళ	ఎంజీఎం మెడికల్ కాలేజ్ & హాస్పిటల్, కేరళ	HOSPITAL	INFRASTRUCTURE	South India	ఎంజీఎం మెడికల్ కాలేజ్ & హాస్పిటల్, కేరళ is a hospital in Andhra Pradesh/Telangana
ఎయిమ్స్, ఢిల్లీ	ఎయిమ్స్, ఢిల్లీ	HOSPITAL	INFRASTRUCTURE	South India	ఎయిమ్స్, ఢిల్లీ is a hospital in Andhra Pradesh/Telangana
ఎస్‌ఎల్‌జి హాస్పిటల్, హైదరాబాద్, తెలంగాణ	ఎస్‌ఎల్‌జి హాస్పిటల్, హైదరాబాద్, తెలంగాణ	HOSPITAL	INFRASTRUCTURE	Telangana	ఎస్‌ఎల్‌జి హాస్పిటల్, హైదరాబాద్, తెలంగాణ is a hospital in Andhra Pradesh/Telangana
ఎస్‌ఎస్‌కేఎం హాస్పిటల్, కోల్‌కతా	ఎస్‌ఎస్‌కేఎం హాస్పిటల్, కోల్‌కతా	HOSPITAL	INFRASTRUCTURE	South India	ఎస్‌ఎస్‌కేఎం హాస్పిటల్, కోల్‌కతా is a hospital in Andhra Pradesh/Telangana
ఎస్‌పిఆర్ హాస్పిటల్, కడప, ఆంధ్రప్రదేశ్	ఎస్‌పిఆర్ హాస్పిటల్, కడప, ఆంధ్రప్రదేశ్	HOSPITAL	INFRASTRUCTURE	Andhra Pradesh	ఎస్‌పిఆర్ హాస్పిటల్, కడప, ఆంధ్రప్రదేశ్ is a hospital in Andhra Pradesh/Telangana
ఎస్‌విఆర్ఆర్ జిహెచ్, గుంటూరు, ఆంధ్రప్రదేశ్	ఎస్‌విఆర్ఆర్ జిహెచ్, గుంటూరు, ఆంధ్రప్రదేశ్	HOSPITAL	INFRASTRUCTURE	Andhra Pradesh	ఎస్‌విఆర్ఆర్ జిహెచ్, గుంటూరు, ఆంధ్రప్రదేశ్ is a hospital in Andhra Pradesh/Telangana
ఓస్మానియా జిహెచ్, హైదరాబాద్, తెలంగాణ	ఓస్మానియా జిహెచ్, హైదరాబాద్, తెలంగాణ	HOSPITAL	INFRASTRUCTURE	Telangana	ఓస్మానియా జిహెచ్, హైదరాబాద్, తెలంగాణ is a hospital in Andhra Pradesh/Telangana
కరీంనగర్ జిల్లా హాస్పిటల్, తెలంగాణ	కరీంనగర్ జిల్లా హాస్పిటల్, తెలంగాణ	HOSPITAL	INFRASTRUCTURE	Telangana	కరీంనగర్ జిల్లా హాస్పిటల్, తెలంగాణ is a hospital in Andhra Pradesh/Telangana
కర్నూలు జిల్లా హాస్పిటల్, ఆంధ్రప్రదేశ్	కర్నూలు జిల్లా హాస్పిటల్, ఆంధ్రప్రదేశ్	HOSPITAL	INFRASTRUCTURE	Andhra Pradesh	కర్నూలు జిల్లా హాస్పిటల్, ఆంధ్రప్రదేశ్ is a hospital in Andhra Pradesh/Telangana
కింగ్ కాలేజ్ హాస్పిటల్, లండన్, UK	కింగ్ కాలేజ్ హాస్పిటల్, లండన్, UK	HOSPITAL	INFRASTRUCTURE	South India	కింగ్ కాలేజ్ హాస్పిటల్, లండన్, UK is a hospital in Andhra Pradesh/Telangana
కింగ్ జార్జి హాస్పిటల్, విశాఖపట్నం, ఆంధ్రప్రదేశ్	కింగ్ జార్జి హాస్పిటల్, విశాఖపట్నం, ఆంధ్రప్రదేశ్	HOSPITAL	INFRASTRUCTURE	Andhra Pradesh	కింగ్ జార్జి హాస్పిటల్, విశాఖపట్నం, ఆంధ్రప్రదేశ్ is a hospital in Andhra Pradesh/Telangana
క్లీవ్ల్యాండ్ క్లినిక్, ఓహియో, USA	క్లీవ్ల్యాండ్ క్లినిక్, ఓహియో, USA	HOSPITAL	INFRASTRUCTURE	South India	క్లీవ్ల్యాండ్ క్లినిక్, ఓహియో, USA is a hospital in Andhra Pradesh/Telangana
ఖమ్మం జిల్లా హాస్పిటల్, తెలంగాణ	ఖమ్మం జిల్లా హాస్పిటల్, తెలంగాణ	HOSPITAL	INFRASTRUCTURE	Telangana	ఖమ్మం జిల్లా హాస్పిటల్, తెలంగాణ is a hospital in Andhra Pradesh/Telangana
